Brand,Title,Rating,Price
Pepe Jeans,Men Jeans,3.5,"1,329"
Pepe Jeans,Men Jeans,,"1,329"
RAGZO,Light Blue Men's Slim Fit Stretchable Jeans,3.5,699
Pepe Jeans,Men Jeans,,"1,259"
Van Heusen,Men's Skinny Jeans (VXDNCRKFT22904_Navy),,"2,414"
Ben Martin,Men's Relaxed Fit Jeans,3.5,628
Levi's,Men Jeans,3.9,"1,589"
Levi's,Men Jeans,3.8,"1,305"
Urbano Fashion,Men's Slim Fit Washed Jeans Stretchable,3.6,568
Billford,Men's Comfortable Stretchable Casual Denim Jeans Slim Fit Mid Rise Flat Front Full Length Modern & Fashionable for Casual Wear Comfort and Flexibility,3.5,599
Levi's,Men's 512 Slim Tapered Fit Jeans,3.8,"1,289"
Levi's,Men Jeans,3.7,"1,305"
Levi's,Men's 511 Slim Fit Jeans,4.0,"1,589"
Levi's,Men Jeans,3.8,"1,589"
Levi's,Men's 511 Slim Fit Jeans,3.9,"1,589"
Levi's,Men's Slim Jeans (18298-1225_Mid Indigo_34),3.9,"1,440"
Levi's,Men Jeans,4.0,"1,589"
Levi's,Men's 511 Slim Fit Jeans,4.0,"1,589"
Amazon Brand - Symbol,Men's Relaxed Fit Stretchable Jeans,3.7,699
Allen Solly,Men's Skinny Jeans,3.5,899
Ben Martin,"Men's Regular Fit Cotton Denim Stretchable Jeans | Stylish, Comfortable, and Fashionable | Ankle Length | Straight Fit | Casual and Flexible",3.6,628
Van Heusen,Men's Skinny Jeans (VXDNCRKFQ73670_Navy),,"2,274"
Urbano Fashion,Men's Slim Fit Joggers,3.2,699
Van Heusen,Men's Slim Jeans (VXDNCPOF159248_Navy),,"2,274"
Monterrey,Men's Mid Blue Regular Fit Solid Jeans,,999
Amazon Brand - Symbol,Men's Relaxed Fit Stretchable Jeans,3.8,699
Levi's,Men Jeans,4.0,"1,439"
Levi's,Men's 512 Slim Tapered Fit Jeans,4.0,"1,983"
Levi's,Men Slim Jeans,4.0,"1,619"
Levi's,Men's 511 Slim Fit Jeans,4.0,"1,362"
Pepe Jeans,Men's Slim Jeans,,"1,277"
Campus Sutra,Men’s Classic Blue Dark-Washed Regular Fit Denim Jeans with Drawstring Premium Stretchable Cotton Mid-Rise Crafted with Comfort Fit and High Performance for Everyday Wear,3.5,699
Levi's,Men's 511 Slim Fit Jeans,3.9,"1,589"
Levi's,Men Jeans,3.9,"1,395."
Ben Martin,Men's Comfortable Stretchable Casual Slim Fit Denim Jeans 5 Basic Pockets Full Length Modern Fashionable for Casual Wear Breathable Fabric for Flexibility,4.1,699
Pepe Jeans,Men's Slim Jeans,4.0,"1,259"
Allen Solly,Men's Slim Jeans Color Collections,3.5,999
Levi's,Men's Slim Jeans (18298-1225_Mid Indigo_32),3.7,"1,439"
Ben Martin,Men's Denim Slim Fit Strechable Jeans,3.6,628
Urbano Fashion,Men's Slim Fit Black Stretch Jeans,3.7,590
Pepe Jeans,Men's Regular Jeans,4.0,"1,259"
Pepe Jeans,Men's Slim Jeans,4.7,"1,259"
Ben Martin,Men's Relaxed Fit Jeans,3.5,499
Pepe Jeans,Men's Regular Jeans,3.6,"1,259"
Levi's,Men's Slim Jeans (18298-1241_Dark Indigo_34),4.0,"1,472"
Pepe Jeans,Men's Slim Jeans,,"1,277"
Urbano Plus,Men's Regular Fit Washed Jeans Stretchable,3.8,679
Levi's,Men's 512 Slim Tapered Fit Jeans,4.0,"1,619"
Levi's,Men's 511 Slim Fit Jeans,3.9,
Pepe Jeans,Men's Regular Jeans,,"1,259"
Peter England,Men's Regular Jeans,4.0,"1,119"
Levi's,Men's 512 Slim Tapered Fit Jeans,3.7,"1,589"
Levi's,Men's 512 Slim Tapered Fit Jeans,4.0,"1,759"
Urbano Plus,Men's Regular Fit Solid Jeans Stretchable,3.8,649
Neostreak,Men's Slim Fit Stretchable Jeans,3.7,619
Campus Sutra,Men's Regular Fit Denim Jeans,3.3,645
Peter England,Men's Slim Jeans,4.6,899
Amazon Brand - Symbol,Men's Relaxed Jeans,3.6,727.
BelliBeeIndia,Men Slim Fit Denim Jogger(Men's Joggers),,798
BelliBeeIndia,BelliBeeIndia Regular Fit Side Pocket Jogger for Men's (Jogger-01),,798
Generic,"Black,Jeans for Men",,799
RAGZO,Light Blue Men's Slim Fit Stretchable Jeans,3.5,699
RAGZO,Light Blue Men's Slim Fit Stretchable Jeans,3.5,699
Pepe Jeans,Men Jeans,,"1,329"
Pepe Jeans,Men Jeans,,"1,259"
Van Heusen,Men's Skinny Jeans (VXDNCRKFT22904_Navy,,"2,414"
Amazon Brand - Symbol,Men's Skinny Fit Stretchable Jeans,3.7,699
Levi's,Men's 511 Slim Fit Jeans,3.7,"1,753"
Billford,Men's Comfortable Stretchable Casual Denim Jeans Regular Fit Mid Rise Flat Front Full Length Modern & Fashionable for Casual Wear Comfort and Flexibility,3.4,599
Levi's,Men's 512 Slim Tapered Fit Jeans,3.5,"1,439"
Lzard,Gorgeous Glamarous Men Jeans,3.6,399
Levi's,Men's 512 Slim Tapered Fit Jeans,5.0,"1,440"
Levi's,Men's 511 Slim Fit Jeans,3.9,"1,589"
Pepe Jeans,Men's Regular Jeans,,"1,259"
Ben Martin,Men's Slim Fit Denim Jeans,3.6,628
Levi's,Men's 511 Slim Fit Jeans,3.8,"1,789"
Allen Solly,Men Jeans,3.7,949
Neostreak,Men's Slim Fit Stretchable Jeans,3.6,629
Red Tape,Men's Grey Solid Washed Cotton Spandex Skinny Jeans,4.1,"1,139"
Allen Solly,Men's Slim Jeans,3.6,949
ultimatefashionista,ultimatefashionista Combo Sales Designer 7 Inch Height Full Transparent Big Shirt/T-Shirt & Pant/Jeans/Trousers Cover - Set of 4 Pcs.(Gery),3.9,399
Ben Martin,"Men's Comfort Stretch Denim Jeans - Light Blue, Regular Fit with 4 Cross Pockets, Mid Rise, Modern and Fashionable with Flat Front, Whiskering and Fading Wash, Perfect for Casual Wear, Full Length and Stretchable Fabric for Ultimate Comfort and Flexibility",3.3,499
Van Heusen,Men's Slim Jeans (VXDNCPOF159248_Navy),,"2,274"
Urbano Fashion,Men's Slim Fit Joggers,3.2,699
Van Heusen,Men's Skinny Jeans (VXDNCRKFQ73670_Navy),,"2,274"
Monterrey,Men's Mid Blue Regular Fit Solid Jeans,,999
Levi's,Men's 511 Slim Fit Jeans,3.9,"1,759"
Amazon Brand - INKAST,Men Jeans,3.6,745.
Ben Martin,Men's Regular Fit Denim Jeans(BM-JNS-WHTE),3.6,499
KETCH,Men Jeans,3.2,539
Pepe Jeans,Men Jeans,3.6,"1,187"
Urbano Fashion,Men's Light Grey Slim Fit Jogger Jeans Stretch,3.6,669
Red Tape,Men's Cotton Blend Regular Fit White Skinny Jeans Pants,3.9,"1,039"
Peter England,Men's Tapered Jeans (PJDNPCTPJ72137_Navy_32),4.6,979
Pepe Jeans,Men Jeans,3.6,"1,259"
Levi's,Men Jeans,3.2,"1,680"
Levi's,Men's 511 Slim Fit Jeans,3.9,"1,535"
Levi's,Men's 517 Bootcut Jeans,3.5,"1,980"
Supernova Inc.,Men's Slim Fit Solid Jeans Stretchable,3.5,499
Levi's,Men's 511 Slim Fit Jeans,4.1,"1,589"
Urbano Fashion,Men's Light Blue Slim Fit Denim Jeans Stretchable,3.4,499
Pepe Jeans,Men Jeans,3.9,"1,259"
Peter England,Men Jeans,3.4,"1,499"
Pepe Jeans,Men's Holborne Regular Fit Mid Waist Straight Leg Denim,4.1,"1,619"
RAGZO,Men's Slim Fit Stretchable Fabric Casual Wear Denim Jeans,3.4,699
DENIM UNCLE,"Men Relaxed Fit,Loose Retro Denim Jeans",2.5,980
Levi's,Men's 512 Slim Tapered Fit Jeans,3.3,"1,391."
U.S. POLO ASSN.,Men Regular Jeans,4.8,"1,189"
Levi's,Men's 512 Slim Tapered Fit Jeans,3.9,"1,759"
Amazon Brand - Symbol,Men's Slim Fit Stretchable Jeans,3.7,675.
Campus Sutra,Men's Slim Fit Jeans,3.3,710
Levi's,Men's 511 Slim Fit Jeans,5.0,"1,800"
Pepe Jeans,Men Jeans,4.6,"1,259"
Pepe Jeans,Men's Vapour Slim Fit Mid Waist Lightly Fade Jeans,4.4,"1,709"
Lee,Men's Straight Fit Jeans,,"1,679"
Levi's,Men Jeans,3.8,"1,935"
Bombay Trooper,Stone Washed Dark Grey Denim – Unisex Hoppers for Men and Women,3.2,"1,329"
Wrangler,Men Jeans,,896.
BelliBeeIndia,Men Slim Fit Denim Jogger(Men's Joggers),,798
Amazon Brand - Symbol,Men's Relaxed Jeans,3.6,727.
Generic,"Black,Jeans for Men",,799
BelliBeeIndia,BelliBeeIndia Regular Fit Side Pocket Jogger for Men's (Jogger-01),,798
Pepe Jeans,Men Jeans,3.5,"1,329"
Pepe Jeans,Men Jeans,,"1,329"
RAGZO,Light Blue Men's Slim Fit Stretchable Jeans,3.5,699
Pepe Jeans,Men Jeans,,"1,259"
Van Heusen,Men's Skinny Jeans (VXDNCRKFT22904_Navy),,"2,414"
Levi's,Men's 511 Slim Fit Jeans,3.7,"1,709"
Peter England,Men Jeans,2.9,"1,499"
Levi's,Men's Slim Jeans (18298-1247_Mid Indigo_32),3.5,"1,475."
Lee,Men's Skinny Fit Jeans,3.9,"1,679"
Pepe Jeans,Men Jeans,4.1,"1,289"
Ben Martin,Men's Slim Fit Jeans,3.5,628
Pepe Jeans,Men Jeans,3.6,"1,259"
Levi's,Men's 512 Slim Tapered Fit Jeans,3.7,"1,439"
Peter England,Men's Regular Jeans,3.0,999
Ben Martin,"Men's Comfort Stretch Denim Jeans - Light Blue, Regular Fit with 4 Cross Pockets, Mid Rise, Modern and Fashionable with Flat Front, Whiskering and Fading Wash, Perfect for Casual Wear, Full Length and Stretchable Fabric for Ultimate Comfort and Flexibility",3.9,628
Levi's,Men's 511 Slim Fit Jeans,3.9,"1,589"
INKD,Men's Stretchable Jogger Jeans,4.1,799
Amazon Brand - Symbol,Men's Jogger Fit Stretchable Jeans,4.1,959
Spykar,Men Jeans,5.0,"1,359"
Ben Martin,Men's Relaxed Fit Jeans,3.5,628
Levi's,Men's 512 Slim Tapered Fit Jeans,,"1,935"
Van Heusen,Men's Slim Jeans (VXDNCPOF159248_Navy),,"2,274"
Van Heusen,Men's Slim Jeans (VXDNCPOFW57052_Blue),,"2,974"
Van Heusen,Men's Skinny Jeans (VXDNCRKFQ73670_Navy),,"2,274"
Pepe Jeans,Men Jeans,,"1,329"
Spykar,Skinny Fit Jeans for Men,4.2,"1,116"
Lzard,Gorgeous Glamarous Men Jeans,4.2,399
Pepe Jeans,Men's Skinny Jeans,,"1,277"
INKD,Men's Contrast Stitch Stretchable Regular Fit Jeans,4.2,819
Ben Martin,Men's Denim Slim Fit Strechable Jeans,3.5,628
Levi's,Men's 512 Slim Tapered Fit Jeans,3.9,"1,589"
Levi's,Men's 512 Slim Tapered Fit Jeans,3.8,"1,503"
Lzard,Gorgeous Modern Men Jeans,3.6,399
Pepe Jeans Innerwear,Men Track Pants,3.5,906.
Pepe Jeans,Men Jeans,5.0,"1,289"
Levi's,Men's 511 Slim Fit Jeans,3.8,"1,439"
Diverse,Men Jeans,3.7,929
Levi's,Men's Slim Jeans (18298-1225_Mid Indigo_36),3.9,"1,439"
Urbano Fashion,Men's Slim Fit Washed Jogger Jeans Stretchable,3.7,677
INKD,Men's Stretchable Regular Fit Jeans,4.0,699
Urbano Fashion,Men's Dark Blue Slim Fit Washed Jeans Stretchable,3.6,519
Urbano Fashion,Men's Slim Fit Washed Jeans Stretchable,3.4,594
Red Tape,Men's Grey Skinny Jeans,,"1,159"
Levi's,Men Jeans,3.8,"1,399"
