Brand,Title,Rating,Price
dermawear,Women Stretchable High Waist Regular Fit Shapewear Denim Jeans,3.9,"1,390"
dermawear,Women Stretchable High Waist Regular Fit Shapewear Denim Jeans,3.9,"1,390"
Generic,Habit Creation Women's Slim Fit Jeans,,549
VECTRO,Jeggings Ankle Length Stretchable Striped Jeggings for Girls & Women Cotton Blend,,399
CHANNEL-F,"Women's High Waist Jeans, Ankle Length, Strechable Denim Jeans for Women",,699
KOTTY,Womens High Rise Cotton Lycra Jeans,3.5,587.
KOTTY,Women's Loose Fit Jeans,3.8,582.
KOTTY,Women High Rise Cotton Lycra Ankle Length Slim fit Light Blue Solid Jeans,2.6,549
GRECIILOOKS,Denim Jeans for Women || High Waist Jeans || Straight Leg Raw Hem Jeans || High Rise Solid Jeans || Balloon Fit Jeans for Girls || Wide Leg Jeans Pants || Jeans for Girls,,699
KOTTY,Dark Blue Cotton Lycra Regular Fit High Rise Women Jeans,3.7,489.
AKA CHIC,Relaxed Women Jeans,4.0,"1,279"
KOTTY,Women's Relaxed Fit Cotton Jeans,3.8,587.
Nifty,Women's Slim Fit Cotton Jeans,3.8,489
GRECIILOOKS,Cargo Jeans Trousers || 4 Pocket Wide Leg Denims || Sporty Look Denims || Wide Leg High Rise Clean Look Regular Stretchable Denim Jeans || Button-Fly Closure,,699
Nifty,Women's Denim Straight Fit Boyfriend Jeans,3.7,499
AKA CHIC,High Rise Elasticated Waistband Wide Leg Jeans,4.0,879
Miss Chase,Women's Black High-Rise Stretchable Denim Jeans,3.9,877
THE EXOCRAFTS,Women Solid Denim Straight Comfortable Fit Casual Wear 6 Pocket Jeans,3.3,
KOTTY,"Women's Cotton Lycra Relaxed Fit High Rise Jeans (Wash Black, 28)_KTTLADIESJEANS846M",3.7,587.
Aahwan,Women's & Girls' Solid Denim High Waist Wide Leg Jeans Pants,4.0,979
KOTTY,Women Relaxed Jeans,3.9,587.
PARIS HAMILTON,Paris Hamiton Women Plus Size Tummy Tucker High Waist Jegging Stretchable Denim Jeans,3.7,999
United Colors of Benetton,Women Jeans,,"1,749"
Generic,Batton,,299
Dolce Crudo,Women's White Skinny High Rise Clean Look Bleached Cropped Stretchable Denim Jeans,3.7,811
AKA CHIC,Women's Regular Jeans,4.1,"1,209"
Miss Chase,Women's Black Skinny Fit High Rise Clean Look Regular Length Stretchable Denim Jeans,3.9,877
KOTTY,Womens High Rise Cotton Lycra Skinny Jeans,3.7,587.
AKA CHIC,High Rise Wide Leg Cargo Jeans,3.8,"1,049"
KOTTY,Blue High Rise Plain Women Jeans,3.8,587.
Miss Chase,Women's Navy Blue Skinny Fit High Rise Clean Look Regular Length Stretchable Denim Jeans,3.9,854
Nifty,Women's Denim Slim Fit High Waist Jeans,3.8,589
BLUE STAR SHARK,Ravishing Glamarours Cotton Stretchable Casual Cigarette Lycra Pants for Girls/Ladies/Women,3.7,449
Miss Chase,Women's Regular Fit Jeans,3.7,799
AKA CHIC,Women's Skinny Fit Jeans,3.8,979
KOTTY,Women's Relaxed Jeans,3.7,587.
Miss Chase,Women's Blue High Rise Clean Look Solid Cropped Striped Detailing Denim Joggers,3.9,784
Nifty,Women's Slim Fit Jeans,3.8,609
Levi's,Women Jeans,3.8,"1,215"
KOTTY,"Womens High Rise Cotton Lycra Jeans(Faded Blue,28)",3.4,587.
Levi's,Women's Mid Rise 710 Super Skinny Fit Jeans,3.8,"1,566"
Jockey,Women's Cotton Capri Pants (1300-0105-BLACKXX-Large),4.3,849
KOTTY,Womens Cotton Lycra Blend Straight Fit High Rise Jeans,3.2,549
AKA CHIC,Women's Regular Jeans,4.1,979
KOTTY,womens High waist skinny Fit Ankle Length Clean look Black Denim jeans,3.8,587.
KOTTY,Women's Relaxed Jeans,3.6,587.
Levi's,Women Jeans,4.1,"1,478"
AKA CHIC,Women's Skinny Fit Jeans,3.9,"1,349"
Nifty,Women's Denim Straight Fit Boyfriend Jeans,2.8,799
ADBUCKS,Women Denim Straight Fit Jeans,3.7,725
KOTTY,Black and Grey Cotton Lycra Slim High Rise Women Jeans,3.7,587.
KOTTY,Womens High Rise Cotton Lycra Solid Jeans,3.2,549
Miss Chase,Women's Denim Flared Pants,3.6,799
AKA CHIC,Women's Flare Fit Jeans,4.0,"1,047"
VBEAUTI,Women's Slim Fit Modern Regular High Rise Strechable Solid Clean Look Jeans 1205_New,,799
Nifty,Women's Denim Straight Fit Color Jeans,3.0,699
InstaCrysta,Women's Jeggings Slim fit Jeggings Plain Pants with Pocket Skinny Fit Stretchable High Waist Ankle Length,5.0,"1,499"
Generic,Women's Regular Fit Cotton Jeans,,599
Accalia,"Denim Mom Jeans for Women's, High Waist Regular Fit Blue Boyfriend Jeans for Girl's",4.2,"1,499"
Globus,Women Black Solid Relaxed Fit Slip-On Tregging,,"1,045"
dermawear,Women Stretchable High Waist Regular Fit Shapewear Denim Jeans,3.9,"1,380"
